Name	Set	ImageFile	Rarity	Organization	Type	Value	Cost	STR	DEF	Text
ENIGMA [Tactical Orbment]	1	01-001	R	None	ITEM	1	CP	None	None	・[TAP]: Target one attacking UNIT card, and it gains +2/+0 for this combat.
F. Novartis [Dr.]	1	01-002	R	Ouroboros	UNIT	3	CP	3	4	[Secret Maneuvers]  ・[TAP], Destroy one of your untapped UNIT cards: Target one UNIT card, and it gains +10/+10 this turn and "・This card cannot overkill."
Ein Selnat [Dominion]	1	01-003	SR	Gralsritter	UNIT	6	CP	12	12	・This card will not stun UNIT cards with a CP cost of 5 or less while attacking.  ・When this unit is stunned while defending, all UNIT cards attacking this unit will be stunned.
Agate Krossner [Heavy Blade]	1	01-004	R	Bracer Guild	UNIT	4	CP	11	7	・[TRIGGER] You may discard one Bracer Association card from your hand. If you don't, place this at the bottom of your deck.  [Arts] (3 EP) "Flare Arrow" - Target one UNIT card with a CP cost of 2 or less, and stun it.
Agate Krossner [Prodigy]	1	01-005	N	Bracer Guild	UNIT	3	CP	3	4	[Dispatch] (・If this card is face down in your stronghold, you can play this from your stronghold. If you do so, you may place one card from your hand in your stronghold face down tapped.)  ・This card gains +2/+2 while attacking. [Arts] (1 EP) "Firebolt" - Target one UNIT card with a CP cost of 1 or less, stun it.
Abbas [Wazy's Assistant]	1	01-006	N	Gralsritter	UNIT	3	CP	4	4	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) [Arts] (2 EP) "Seraph" - Target one UNIT card in your trash, add it to your hand.
Anelace Elfead [Regular Bracer]	1	01-007	R	Bracer Guild	UNIT	5	CP	7	9	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・This card gains +4/-4 while attacking. [Arts] (1 EP) "Sylphen Guard" - Target one defending UNIT card, and it gains +0/+2 during this combat.
Struck by the Rain	1	01-008	SR	None	EVENT	4	EP	None	None	Target one stunned UNIT card and destroy it. If you do, you lose Bond points equal to its CP cost.
Arianrhod [Steel Maiden]	1	01-009	SR	Ouroboros	UNIT	8	CP	19	19	・This card will not stun while attacking.  ・This card will respond to all UNIT cards attacking it during a response. [Arts] (8 EP) "Lost Mobius" - Target one UNIT card, destroy it. If you do that, you gain 5 Bond points.
Arios McClain [Divine Blade of Wind]	1	01-010	SR	Bracer Guild	UNIT	7	CP	16	14	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・When this card stuns a UNIT card, you may turn 4 face-down UNIT card in your stronghold face up. If you do, untap this card. [Arts] (8 EP) "Thunder Cyclone” - Target two of your opponent's UNIT card, stun one of them, and tap the other.
